gene_name,twoD_1,twoD_2,twoD_3,twoD_4,dynamic_1,dynamic_2,dynamic_3,dynamic_4
MIR6529A,0,0,0,0,0,0,0,0
GPR156,0,0,0,0,0,0,1,0
LOC132346278,0,0,0,0,0,0,0,0
LOC101906506,0,0,0,0,0,2,0,0
LRRC58,0,0,3,0,0,19,0,22
FSTL1,55,253,233,123,373,286,191,267
NDUFB4,3263,3397,4285,3725,6287,4571,5652,3363
HGD,0,3,0,0,0,4,0,5
RABL3,762,648,679,557,513,930,961,922
GTF2E1,1628,1759,1840,1639,1409,1338,1222,2315
TRNAW-CCA_5,0,0,0,0,0,0,0,0
LOC112448312,0,0,0,0,0,0,0,0
STXBP5L,110,169,127,174,68,57,33,64
POLQ,589,748,780,555,615,802,531,1008
ARGFX,1133,499,1383,351,202,70,340,1946
FBXO40,0,0,0,0,0,0,0,0
HCLS1,3,0,0,0,0,0,0,22
GOLGB1,8541,7877,8196,6580,7624,8731,7885,13455
IQCB1,871,799,853,382,542,561,403,1098
EAF2,48,73,96,13,74,36,111,254
LOC132345641,12,1,12,1,1,4,2,5
LOC506921,154,8,134,36,51,143,36,63
SLC15A2,1918,732,6450,2377,4008,992,2775,3320
ILDR1,216,75,129,29,121,215,129,127
CD86,23,0,80,0,0,9,24,6
LOC132342118,0,0,0,0,0,0,0,0
CASR,12,27,14,0,0,18,29,9
LOC101908792,0,0,0,0,0,0,0,0
CSTA,0,0,2,0,0,9,1,0
MIX23,2401,2470,2168,2146,2665,1394,1954,2884
FAM162A,1205,1080,1402,1136,2496,1297,2132,1492
WDR5B,149,84,66,37,39,76,103,50
KPNA1,2272,2896,2945,2321,3022,2699,3485,2904
LOC112448371,0,0,0,0,0,0,0,0
PARP9,676,876,352,385,426,471,493,663
DTX3L,873,784,438,444,561,250,568,788
PARP14,1173,1065,556,858,1178,711,818,1108
HSPBAP1,226,146,150,173,224,269,74,191
SLC49A4,697,315,368,420,694,651,426,686
SEMA5B,754,954,777,1789,2311,806,908,1087
PDIA5,1314,1095,1409,999,1863,2197,1761,1710
SEC22A,522,504,692,522,742,826,689,959
ADCY5,0,2,3,4,2,1,31,17
LOC112447309,0,0,3,0,0,0,0,0
HACD2,396,659,598,573,1103,1066,830,681
MYLK,856,748,849,513,1052,844,488,1675
CCDC14,149,216,339,88,137,126,136,262
ROPN1,0,0,0,0,0,0,0,0
KALRN,1286,1162,1426,754,855,377,930,1867
LOC132345643,0,0,0,0,0,0,0,0
LOC101905265,83,18,63,37,39,46,56,114
UMPS,5763,6828,6941,5783,8726,4496,6881,7808
ITGB5,370,326,470,422,256,515,155,239
MUC13,0,0,178,5,1,147,24,26
TRNAG-UCC_2,0,0,0,0,0,0,0,0
HEG1,33,30,97,45,117,122,65,2
SLC12A8,250,132,177,16,14,74,38,313
ZNF148,351,439,487,339,536,389,433,774
LOC132345644,0,0,0,0,0,0,0,0
SNX4,2953,3109,4635,3527,5073,10326,4955,5119
OSBPL11,1434,2285,1552,1991,3616,2090,2190,1417
LMLN,357,560,443,259,948,338,699,464
IQCG,301,86,110,128,252,21,111,221
LOC112448302,0,5,0,1,0,0,0,0
