Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Molecules Associated With Elastic Fibres R-HSA-2129379,Jan 28,0.273730255,0.5186468,0,0,3.235988201,4.192585556,ITGAV
S Phase R-HSA-69242,3/161,0.276241335,0.521878674,0,0,1.662663879,2.13898448,MYC;PMEPA1;PSMB8
Toll-like Receptor Cascades R-HSA-168898,3/162,0.279319045,0.525848349,0,0,1.652122642,2.107118243,FOS;USP18;DUSP7
Peroxisomal Lipid Metabolism R-HSA-390918,Jan 29,0.281984961,0.525848349,0,0,3.120259166,3.94994088,CRAT
Adherens Junctions Interactions R-HSA-418990,Jan 29,0.281984961,0.525848349,0,0,3.120259166,3.94994088,CDH2
FCERI Mediated MAPK Activation R-HSA-2871796,Jan 29,0.281984961,0.525848349,0,0,3.120259166,3.94994088,FOS
Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517,3/163,0.28240004,0.525848349,0,0,1.64171317,2.075832423,ACO2;SLC16A3;LDLR
Oxidative Stress Induced Senescence R-HSA-2559580,Feb 93,0.284816405,0.528553391,0,0,1.922539683,2.414537773,PHC2;FOS
Protein Localization R-HSA-9609507,3/164,0.285484085,0.528553391,0,0,1.631433008,2.045113839,ACO2;CRAT;SLC25A6
Downstream Signaling Of Activated FGFR1 R-HSA-5654687,Jan 30,0.290146253,0.531115175,0,0,3.012511443,3.727591772,FLRT2
Synthesis Of Active Ubiquitin: Roles Of E1 And E2 Enzymes R-HSA-8866652,Jan 30,0.290146253,0.531115175,0,0,3.012511443,3.727591772,OTULIN
HS-GAG Biosynthesis R-HSA-2022928,Jan 30,0.290146253,0.531115175,0,0,3.012511443,3.727591772,SDC1
Translation Of Structural Proteins R-HSA-9683701,Jan 30,0.290146253,0.531115175,0,0,3.012511443,3.727591772,PARP14
Transcriptional Regulation By RUNX3 R-HSA-8878159,Feb 95,0.293217522,0.535225224,0,0,1.881003584,2.307691468,MYC;PSMB8
MAPK Family Signaling Cascades R-HSA-5683057,5/318,0.294282815,0.535260438,0,0,1.400282071,1.712844657,PDGFRA;MYC;NCAM1;PSMB8;DUSP7
Antigen Activates B Cell Receptor Leading To Second Messenger Generation R-HSA-983695,Jan 31,0.298215184,0.535260438,0,0,2.911946903,3.523280915,DAPP1
Pyruvate Metabolism R-HSA-70268,Jan 31,0.298215184,0.535260438,0,0,2.911946903,3.523280915,SLC16A3
Sealing Of Nuclear Envelope (NE) By ESCRT-III R-HSA-9668328,Jan 31,0.298215184,0.535260438,0,0,2.911946903,3.523280915,TUBB4B
"Glutamate Binding, Activation Of AMPA Receptors And Synaptic Plasticity R-HSA-399721",Jan 31,0.298215184,0.535260438,0,0,2.911946903,3.523280915,GRIA2
Nicotinate Metabolism R-HSA-196807,Jan 31,0.298215184,0.535260438,0,0,2.911946903,3.523280915,PARP14
Vesicle-mediated Transport R-HSA-5653656,9/637,0.299018949,0.535260438,0,0,1.258582656,1.519421815,COL1A1;SCARB1;SPARC;SYT1;COL4A1;MYH9;ULK1;PUM1;LDLR
Metabolism R-HSA-1430728,26/2049,0.303155944,0.539165573,0,0,1.134957934,1.354581306,SLC25A1;PDXK;PYGL;PAPSS2;ARSJ;PIP5K1A;RPS2;LDLR;SLC16A3;RPS12;MBTPS1;RPL13A;AMPD2;PARP14;PSMB8;ITPKB;MARCKS;PKM;TCN2;SCD;SDC1;ACO2;TKT;CRAT;LRP12;PFKP
PERK Regulates Gene Expression R-HSA-381042,Jan 32,0.306192795,0.539165573,0,0,2.817870397,3.335063252,ATF4
Generation Of Second Messenger Molecules R-HSA-202433,Jan 32,0.306192795,0.539165573,0,0,2.817870397,3.335063252,EVL
Termination Of Translesion DNA Synthesis R-HSA-5656169,Jan 32,0.306192795,0.539165573,0,0,2.817870397,3.335063252,UBA7
Gluconeogenesis R-HSA-70263,Jan 32,0.306192795,0.539165573,0,0,2.817870397,3.335063252,SLC25A1
Nuclear Signaling By ERBB4 R-HSA-1251985,Jan 32,0.306192795,0.539165573,0,0,2.817870397,3.335063252,SPARC
Signaling By Rho GTPases R-HSA-194315,9/644,0.309922548,0.541287004,0,0,1.244253413,1.457559332,RCC2;PCDH7;AMIGO2;FLNA;WDR6;MYH9;EVL;VIM;ACTG1
Cellular Response To Heat Stress R-HSA-3371556,Feb 99,0.309976531,0.541287004,0,0,1.803069874,2.111861262,SERPINH1;FKBP4
Fatty Acid Metabolism R-HSA-8978868,3/173,0.313340117,0.541287004,0,0,1.544353992,1.792170364,SLC25A1;SCD;CRAT
Oncogene Induced Senescence R-HSA-2559585,Jan 33,0.314080114,0.541287004,0,0,2.729673673,3.161254697,ID1
Activation Of Matrix Metalloproteinases R-HSA-1592389,Jan 33,0.314080114,0.541287004,0,0,2.729673673,3.161254697,TIMP2
