"","logFC","AveExpr","t","P.Value","adj.P.Val","B","logP"
"DARS2",-0.513295281353758,4.67878405780834,-1.4545903273969,0.175449334972148,0.842216237472238,-4.77320206404418,0.755848273606876
"LOC518224",-0.0806496212045957,-0.422514333126625,-0.0606889349983506,0.952763705131659,0.997485755291974,-4.77321736759975,0.0210147953553292
"RPL28",0.307667753973199,8.36776636133954,1.66893509989418,0.125078227271888,0.822648277532486,-4.77328456819061,0.902818282621722
"TNFSF9",1.78270915468529,1.42555282714547,0.855891907633609,0.411447626882659,0.892550692378796,-4.77336836096903,0.385685438224315
"ZNF354C",0.505247765544622,0.549838797705447,0.697399759008237,0.50092873927923,0.916865161620438,-4.77339060828877,0.300224051256507
"LSM11",-0.487184269605758,2.60067055974494,-1.18096181153525,0.26406292349373,0.857503060097872,-4.77356548599963,0.578292572865247
"RARA",0.514595997057929,2.00016374737772,1.0724109968447,0.307920507272187,0.871814464090509,-4.77411016921466,0.511561386450585
"YTHDC2",-0.386692582975409,4.19882197116596,-1.39617471269657,0.191904760712838,0.842216237472238,-4.77422860825668,0.716914251290221
"SPINK2B",-0.0730468321894054,-0.411233663438395,-0.0511490162781802,0.96018119400096,0.997485755291974,-4.77456856864129,0.017646804325603
"RAB3C",0.487454427813004,1.12535234780746,0.872843491538016,0.402558127919346,0.888739857795528,-4.77466204353641,0.395171400235461
"BUD23",0.236144284943663,7.90246607432219,1.65968660442504,0.126953507134399,0.822870059451519,-4.77469915736421,0.896355297089761
"LOC112444288",-0.182608434328498,-0.382494424948401,-0.135101031780414,0.895125223264326,0.987039993805644,-4.77481751814205,0.0481162049427194
"LOC101902180",0.484073600316281,0.551176105638758,0.693054310564406,0.503540886476755,0.916865161620438,-4.77488117291766,0.297965259866444
"TLN1",0.426552005579541,7.43793595753723,1.64864087243194,0.129226110525179,0.826251193178348,-4.77494698388329,0.888649726965378
"CPEB3",-0.511508960102155,2.50191409776956,-1.16337397266661,0.270815257306228,0.859024269613046,-4.77515769993824,0.567326871828673
"SLC27A6",-0.962846384493829,0.290447381906641,-0.592855130000444,0.566014979458499,0.927602047442342,-4.7751980486462,0.247172075154337
"CXCR1",0.0735463764917586,-0.399896869311015,0.0390621808231008,0.969584570648531,0.998862153539638,-4.7752658973503,0.0134143042086461
"PHF19",-0.448023256045445,3.38589701820363,-1.28894328995438,0.225500465696154,0.849619565479176,-4.77555396152905,0.646852556894397
"SEPTIN6",0.0896573532658836,-0.399849203961716,0.0606013838018131,0.952831757769246,0.997485755291974,-4.77558078024039,0.020983776300581
"ETV5",0.65043026632884,2.24795965785767,1.11352848512119,0.290690725431005,0.869041406684297,-4.77567467767693,0.53656882429559
"UBD",0.873350944552349,1.78007064306646,1.00564849776273,0.337532603935222,0.875779752889704,-4.7757081665936,0.471684270165533
"UBXN8",0.405268614889654,3.12788420816165,1.25108525151791,0.238462959312109,0.849619565479176,-4.77582424806856,0.622579070777593
"MYBL1",-0.436318895531849,2.44032878164237,-1.15383163917691,0.274535311107272,0.861102553330607,-4.7759332055903,0.561401788070848
"LOC132344246",0.637797933979657,0.437583965848941,0.651649388540221,0.528841347114293,0.918053659029277,-4.7760327381537,0.276674597165399
"LOC112445062",-0.0411837618765517,-0.388724284676478,-0.0178052946196556,0.986132998288969,0.998862153539638,-4.7762392009685,0.00606450845859031
"SIAE",0.69929506267683,1.86574818511633,1.03546386290398,0.324056092775145,0.873090321534034,-4.77628382506135,0.489379808700107
"BRME1",-0.96811846004632,0.873767427916641,-0.797910890490898,0.442856787706325,0.897476579283039,-4.7763293320631,0.353736694464086
"VAV1",-1.42104037118324,1.29963800610111,-0.895737188051868,0.390764225235099,0.886602005097195,-4.77643249676339,0.408085203126674
"LOC787679",0.200463728985606,-0.343219310702427,0.149148591804631,0.884304656749739,0.985568672029214,-4.77649917179247,0.0533980879834083
"BLTP3A",-0.482558948647053,4.21660117684096,-1.39558803429052,0.192076446871219,0.842216237472238,-4.77655522618351,0.716525886679139
"PIP4K2B",-0.550780031762691,3.5721162619606,-1.31125318524812,0.218136052850179,0.849619565479176,-4.7767308291577,0.661272549644123
"TTC26",-0.964257253560797,0.535297231900537,-0.65932203010414,0.524097283453979,0.916865161620438,-4.77690472417266,0.280588091364005
"SLC12A8",-0.970283388487065,1.41553104405143,-0.937769612332784,0.369745044621637,0.884690396465933,-4.7769724306798,0.432097637771639
"PRKRA",-0.738851389593357,2.04046160917224,-1.07728560775959,0.305838018454893,0.871814464090509,-4.77697943501653,0.514508528803092
"H2BC19",-0.215067669571454,-0.312162581241508,-0.206174644226744,0.840656595984657,0.979581854101788,-4.77702332758239,0.0753813751009458
"LGALS7B",0.489294614531004,-0.0454876887104723,0.407567077880513,0.691899965941742,0.958658520922173,-4.7770272214161,0.159956690774327
"CDC42EP4",-0.556887886049332,4.60381715846878,-1.44155679593481,0.179012488694443,0.842216237472238,-4.77727217861281,0.747116669679966
"DHDH",1.08188239933884,3.82692596105801,1.33194963790306,0.211482963361963,0.849619565479176,-4.77740671870769,0.674724612761292
"LOC104976116",-0.157157079038196,-0.333306582254372,-0.173201072016065,0.865836276172662,0.982191701830403,-4.77743134929579,0.0625642223903015
"LOC132344768",0.428066154072785,0.00875549551624136,0.441570815385498,0.667888961571928,0.954425313853695,-4.77802038573603,0.175295734208594
"BTRC",-0.330012803874108,6.18912711799919,-1.59256335778305,0.14133165275825,0.837706414430382,-4.7785027158445,0.849760562293142
"GALR2",0.481812623161795,0.0797445253337875,0.479236704943003,0.641742226930117,0.946806120312773,-4.77858236114732,0.192639382994349
"THNSL2",-0.567993467896606,1.78560112594792,-1.02944021375502,0.32674586441256,0.873090321534034,-4.77884913660547,0.485789900531415
"MSRB3",0.915452447461343,4.23433168273013,1.38751987075947,0.194450713255971,0.842216237472238,-4.77895785832709,0.711190459497419
"H3-3B",0.279409076693801,9.30406050165916,1.67533226790102,0.123795649381199,0.822648277532486,-4.7791070869099,0.907294617698283
"LOC782343",0.533276528238709,0.261048666769791,0.568603602895356,0.581760606334658,0.931691515103164,-4.7791495093469,0.235255690154468
"ZNF84",0.156707077267385,-0.32960467199313,0.144401423901273,0.88795865034613,0.985826484745633,-4.7791819040496,0.0516072575824601
"HHATL",0.410422392123888,0.278613235900979,0.574768251929471,0.57773584617975,0.93105039223893,-4.77944524550062,0.23827068540113
"LOC112443475",-0.431378575921332,0.859127854750133,-0.789897991396291,0.447318958955091,0.899507993839355,-4.7794586582647,0.349382694505438
