"","logFC","AveExpr","t","P.Value","adj.P.Val","B","logP","Significance"
"DECR1",-1.379971,3.4580854,-0.991154669364798,0.372169617115477,0.452488789182524,-6.46526027387731,0.429259084342501,"Not Significant"
"MXD3",-0.796886499999999,2.8306306,-0.988278047387647,0.373432569874082,0.453982272503837,-6.46808986916969,0.427787806634049,"Not Significant"
"EIF3G",-1.28216883333333,4.5174102,-0.988158632401332,0.373485075892653,0.454004074481377,-6.46820721863301,0.42772674749507,"Not Significant"
"PRR11",1.21028033333333,4.7514112,0.986838873039605,0.374065780274071,0.454667884724093,-6.46950354724869,0.427052019462549,"Not Significant"
"ZC3H4",0.900939166666669,4.062141,0.985302628518634,0.374742697600588,0.455448505774264,-6.4710111232068,0.426266821248645,"Not Significant"
"ECE1",0.742156500000001,3.7180804,0.984029819832218,0.375304317737243,0.456088867344575,-6.47225904109879,0.425616439160932,"Not Significant"
"HMBS",-1.43664,3.62712,-0.983493858035314,0.37554101986494,0.456334290077394,-6.47278421263638,0.42534261863846,"Not Significant"
"TACC1",-0.999429,5.8883136,-0.983215502877091,0.375664002151068,0.456441494841582,-6.47305689146742,0.425200419033428,"Not Significant"
"ATF7IP",1.41043283333333,5.3128652,0.982983226446285,0.375766651954339,0.456523977561697,-6.47328439335766,0.425081764722048,"Not Significant"
"APRT",-0.3254225,1.936524,-0.982773357721157,0.375859419414098,0.456552205692899,-6.47348991850626,0.42497456142612,"Not Significant"
"TMEM186",-0.3254225,1.936524,-0.982773357721157,0.375859419414098,0.456552205692899,-6.47348991850626,0.42497456142612,"Not Significant"
"TMEM94",1.13185,4.602403,0.982626760505547,0.375924230636461,0.456588697439698,-6.47363346495875,0.424899680424636,"Not Significant"
"NCLN",0.250921000000001,4.4402276,0.982057599278677,0.376175948177818,0.456852173445954,-6.47419065145465,0.424608975685106,"Not Significant"
"ARHGAP35",-0.616804666666666,6.8658422,-0.981729293360323,0.376321209345317,0.456986325237905,-6.47451195585214,0.424441304289586,"Not Significant"
"ADH4",0.593732500000001,3.255892,0.980917229927039,0.376680714796903,0.457380596089961,-6.47530640474116,0.424026614125604,"Not Significant"
"COL8A1",-0.323559833333334,1.9376416,-0.980194634235253,0.377000854884422,0.457684683955092,-6.47601297142783,0.423657664990052,"Not Significant"
"ZDHHC14",-0.323559833333334,1.9376416,-0.980194634235253,0.377000854884422,0.457684683955092,-6.47601297142783,0.423657664990052,"Not Significant"
"PPP4R3A",-0.741752333333335,5.5851996,-0.979681585263855,0.377228295709294,0.457918467300281,-6.47651443648368,0.423395738496977,"Not Significant"
"RND2",-1.01629866666667,2.4992268,-0.979398943345091,0.377353643505752,0.458028287874806,-6.47679062462076,0.423251452359204,"Not Significant"
"RPS6KA6",-0.880359333333335,5.1691364,-0.978452092653743,0.377773813516399,0.458495907495135,-6.47771548148607,0.422768149747915,"Not Significant"
"SHE",0.9991995,4.3676852,0.977880901034863,0.378027472625525,0.458740984303648,-6.47827312671352,0.422476637262996,"Not Significant"
"MRM1",-1.05295516666666,2.8898044,-0.977840074620245,0.378045608599914,0.458740984303648,-6.47831297685662,0.422455802362777,"Not Significant"
"NEK11",-0.716816666666666,2.804937,-0.976787458230989,0.378513455545225,0.459266256880707,-6.47934005207423,0.421918677418401,"Not Significant"
"SLC16A3",-0.296065499999999,1.9541382,-0.976426488637516,0.378674004205832,0.459376168427804,-6.47969209869834,0.421734507969936,"Not Significant"
"GRP",-0.296065499999999,1.9541382,-0.976426488637516,0.378674004205832,0.459376168427804,-6.47969209869834,0.421734507969936,"Not Significant"
"DZIP1L",0.289221166666667,2.3053102,0.974706572039047,0.379439756604577,0.460262597795244,-6.48136834640479,0.42085716693863,"Not Significant"
"MEX3C",0.843608166666668,4.0277424,0.973124899849527,0.380145103412405,0.461075597858289,-6.48290817401647,0.420050599218182,"Not Significant"
"TRMT10A",-0.591482333333333,4.2855016,-0.97296080322509,0.380218345119742,0.461121842271191,-6.4830678367001,0.419966932730789,"Not Significant"
"BTBD9",-0.615355166666665,6.6679114,-0.972761160430466,0.380307468173356,0.461187336970405,-6.48326206158906,0.419865146177603,"Not Significant"
"MTHFD2L",0.476463833333334,2.4176558,0.971915663310155,0.380685102519864,0.461602656167207,-6.48408432754121,0.419434118247388,"Not Significant"
"RPS6KB2",-0.296059499999999,1.9541418,-0.971649855918274,0.380803888002267,0.461704058466048,-6.48434273583639,0.419298626124459,"Not Significant"
"PCLO",-0.490258833333332,8.0747112,-0.970541555006248,0.3812995057894,0.462223521686278,-6.48541969197492,0.418733757624508,"Not Significant"
"TBL1X",0.8469065,4.0297214,0.970534355764339,0.381302726959142,0.462223521686278,-6.48542668500383,0.418730088775443,"Not Significant"
"TXNIP",-1.13138033333333,5.6195578,-0.969910466113599,0.381581961437398,0.462519320435288,-6.48603257631287,0.418412163929595,"Not Significant"
"SH3BP4",-0.697773999999997,4.4818726,-0.969695790615028,0.381678083326577,0.462593132463738,-6.48624100025858,0.418302777340928,"Not Significant"
"RASGRP2",1.080021,4.5555726,0.969516787353133,0.381758248285256,0.462647592883165,-6.48641476788001,0.418211570784775,"Not Significant"
"DNAJC25",0.781142333333332,3.9062484,0.968556570725043,0.382188512593829,0.463126284708144,-6.48734654363992,0.417722370635497,"Not Significant"
"SZRD1",1.14198916666667,4.668429,0.966884714345294,0.382938622531698,0.463992433205966,-6.48896744860914,0.416870829247796,"Not Significant"
"TGFBR3",1.38830616666667,5.2995892,0.966109493922309,0.383286856550014,0.464252606342393,-6.48971842508038,0.416476073064122,"Not Significant"
"CPSF1",1.05505666666667,4.508079,0.96548052134541,0.383569589171672,0.464252606342393,-6.49032743913077,0.416155832623583,"Not Significant"
"ARSA",-0.443160833333333,1.865881,-0.96467684331129,0.383931107590495,0.464252606342393,-6.49110523872744,0.415746698230154,"Not Significant"
"CACNB1",-0.443160833333333,1.865881,-0.96467684331129,0.383931107590495,0.464252606342393,-6.49110523872744,0.415746698230154,"Not Significant"
"CCDC189",-0.443160833333333,1.865881,-0.96467684331129,0.383931107590495,0.464252606342393,-6.49110523872744,0.415746698230154,"Not Significant"
"CCDC88B",-0.443160833333333,1.865881,-0.96467684331129,0.383931107590495,0.464252606342393,-6.49110523872744,0.415746698230154,"Not Significant"
"COL4A4",-0.443160833333333,1.865881,-0.96467684331129,0.383931107590495,0.464252606342393,-6.49110523872744,0.415746698230154,"Not Significant"
"ECHDC3",-0.443160833333333,1.865881,-0.96467684331129,0.383931107590495,0.464252606342393,-6.49110523872744,0.415746698230154,"Not Significant"
"FBLN1",-0.443160833333333,1.865881,-0.96467684331129,0.383931107590495,0.464252606342393,-6.49110523872744,0.415746698230154,"Not Significant"
"FBXO16",-0.443160833333333,1.865881,-0.96467684331129,0.383931107590495,0.464252606342393,-6.49110523872744,0.415746698230154,"Not Significant"
"MRPL28",-0.443160833333333,1.865881,-0.96467684331129,0.383931107590495,0.464252606342393,-6.49110523872744,0.415746698230154,"Not Significant"
"MS4A1",-0.443160833333333,1.865881,-0.96467684331129,0.383931107590495,0.464252606342393,-6.49110523872744,0.415746698230154,"Not Significant"
"MXD4",-0.443160833333333,1.865881,-0.96467684331129,0.383931107590495,0.464252606342393,-6.49110523872744,0.415746698230154,"Not Significant"
"PDE4B",-0.443160833333333,1.865881,-0.96467684331129,0.383931107590495,0.464252606342393,-6.49110523872744,0.415746698230154,"Not Significant"
"RFX4",-0.443160833333333,1.865881,-0.96467684331129,0.383931107590495,0.464252606342393,-6.49110523872744,0.415746698230154,"Not Significant"
"RNF32",-0.443160833333333,1.865881,-0.96467684331129,0.383931107590495,0.464252606342393,-6.49110523872744,0.415746698230154,"Not Significant"
"RUSC2",-0.443160833333333,1.865881,-0.96467684331129,0.383931107590495,0.464252606342393,-6.49110523872744,0.415746698230154,"Not Significant"
"SLC2A9",-0.443160833333333,1.865881,-0.96467684331129,0.383931107590495,0.464252606342393,-6.49110523872744,0.415746698230154,"Not Significant"
"EPPK1",-0.443160833333333,1.865881,-0.96467684331129,0.383931107590495,0.464252606342393,-6.49110523872744,0.415746698230154,"Not Significant"
"KIAA0930",-0.443160833333333,1.865881,-0.96467684331129,0.383931107590495,0.464252606342393,-6.49110523872744,0.415746698230154,"Not Significant"
"PRSS22",-0.443160833333333,1.865881,-0.96467684331129,0.383931107590495,0.464252606342393,-6.49110523872744,0.415746698230154,"Not Significant"
"TRIM16",-0.443160833333333,1.865881,-0.96467684331129,0.383931107590495,0.464252606342393,-6.49110523872744,0.415746698230154,"Not Significant"
"DHRS12",-1.021737,2.7943138,-0.964554834282729,0.383986015728964,0.464263994079395,-6.49122328214121,0.41568459178438,"Not Significant"
"CELF2",-1.11489883333333,6.1910412,-0.964498806299952,0.384011232385805,0.464263994079395,-6.49127748580454,0.41565607226833,"Not Significant"
"NAV2",1.58855816666667,5.7377044,0.964364652789034,0.384071616807314,0.464294253144956,-6.49140726281587,0.415587786350643,"Not Significant"
"IKZF4",0.2765005,2.2976778,0.964162322969996,0.384162703332619,0.464361618203604,-6.49160296974165,0.415484801169002,"Not Significant"
"RNF40",1.06688733333333,4.3276404,0.961494652264384,0.385365341416885,0.465772449469538,-6.49418081117558,0.414127347044977,"Not Significant"
"OSCP1",0.951006166666667,2.7023812,0.960975683264,0.385599666618888,0.466012775818078,-6.49468176226218,0.413863350250638,"Not Significant"
"ACAA2",1.12666,4.727985,0.960874648662864,0.385645299609942,0.466025036760629,-6.49477926849803,0.413811957613802,"Not Significant"
"UHRF1BP1",-0.557193333333333,2.677198,-0.960793134437447,0.38568211936046,0.466026646249683,-6.49485793116572,0.41377049502841,"Not Significant"
"HIVEP2",1.03151216666667,2.7506848,0.960439448211443,0.385841912330897,0.466176832526391,-6.49519919403088,0.413590598606654,"Not Significant"
"FSTL5",-0.528330666666665,4.2324586,-0.960001483049342,0.386039858255719,0.466373083589154,-6.49562166150255,0.41336785251256,"Not Significant"
"FKBP3",0.749602833333334,3.7585242,0.958951767749061,0.386514639037006,0.466903710774903,-6.49663371805426,0.412834052760936,"Not Significant"
"AQR",-0.278981999999999,7.3476378,-0.957886812767748,0.386996808570466,0.467443165024592,-6.49765972571134,0.412292616443494,"Not Significant"
"A1CF",0.649077666666666,3.0823676,0.9572490652813,0.387285794620969,0.467749200309258,-6.49827379149684,0.411968432347427,"Not Significant"
"EBNA1BP2",-0.591863166666666,6.7582996,-0.956891486358102,0.387447904749708,0.467901957437297,-6.49861797483677,0.411786683353013,"Not Significant"
"MSTO1",0.688757166666667,3.6085818,0.956626679840965,0.387567992375293,0.468003942608952,-6.49887280676973,0.411652096710991,"Not Significant"
"CDYL2",-0.328909166666666,1.934432,-0.956097186677807,0.387808205945112,0.468164861231036,-6.49938221631237,0.411383005574549,"Not Significant"
"IBA57",-0.328909166666666,1.934432,-0.956097186677807,0.387808205945112,0.468164861231036,-6.49938221631237,0.411383005574549,"Not Significant"
"SLC34A2",-0.328909166666666,1.934432,-0.956097186677807,0.387808205945112,0.468164861231036,-6.49938221631237,0.411383005574549,"Not Significant"
"VPS52",0.715993166666667,3.7726564,0.95598391525495,0.387859609495895,0.468183876450049,-6.4994911672958,0.411325444133831,"Not Significant"
"FHIT",0.389520666666665,6.1960514,0.955492523864244,0.388082672644424,0.468410078783693,-6.49996371759753,0.411075747476178,"Not Significant"
"SLC8A2",0.9075375,4.188188,0.955201887771701,0.388214654647547,0.468526316040032,-6.50024313483311,0.410928074531279,"Not Significant"
"AGBL5",0.9214515,2.6846484,0.955006147841419,0.388303563934107,0.468590553352572,-6.50043128748831,0.410828623386959,"Not Significant"
"PPP2R5B",-0.881362499999999,2.743969,-0.954690659953967,0.388446900875571,0.468720454130111,-6.50073449302941,0.410668339109684,"Not Significant"
"GUCY1A2",-0.969131166666667,2.5020158,-0.95371217810128,0.388891737827226,0.469214103376252,-6.5016744618824,0.410171283528192,"Not Significant"
"ZNF879",-0.22736333333333,5.542203,-0.95268752465035,0.389358017945158,0.469733531617438,-6.50265810438353,0.409650877566049,"Not Significant"
"AASDHPPT",-0.376830499999999,4.8420112,-0.95124856997082,0.390013612567481,0.470481238309403,-6.5040382887605,0.408920234615116,"Not Significant"
"HUWE1",-0.615964333333332,7.0894474,-0.95085130211311,0.390194770668268,0.470656537927408,-6.50441908871911,0.40871855525194,"Not Significant"
"HIP1",-0.406360999999999,5.7100354,-0.950300571222712,0.390446024672419,0.470916347905787,-6.50494681645986,0.408438994583376,"Not Significant"
