"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSBTAG00000015198",9.5613375279221,0.43823900658623,1.28456662920898,0.341157084904263,0.732985328570673,0.923126750579414
"ENSBTAG00000014589",253.42209166012,-0.757020539002128,0.614315252188086,-1.23229976189872,0.2178371287321,0.617546894407145
"ENSBTAG00000018427",2259.99502459027,-0.372619337977827,0.399244287264896,-0.933311633663017,0.350659090225356,0.72640983614013
"ENSBTAG00000003833",152.182510352403,-0.54713625887839,0.593509082234711,-0.921866699694441,0.356598110830063,0.731051204424612
"ENSBTAG00000054797",127.219190744057,-0.39003336196024,0.470478740568788,-0.829013786018699,0.407096606340862,0.765523618190761
"ENSBTAG00000035437",290.948238306293,-0.05434819146353,0.46967876526572,-0.115713537597942,0.907879576876416,0.978790881105816
"ENSBTAG00000015221",998.527440437056,-0.260138190204973,0.460961398159825,-0.564338339920555,0.572523893512933,0.853981607843278
"ENSBTAG00000052750",89.4045484507708,0.83060782493634,0.596582949534143,1.39227550097592,0.163838987299827,0.551826993514009
"ENSBTAG00000000750",11.6721175788789,-0.199852215878595,1.07162812157359,-0.186494000908757,0.852057382917454,0.961923984342577
"ENSBTAG00000023416",16.0645489980467,0.78254524827926,1.2208198996153,0.640999748223183,0.521522846542822,0.831924711241109
"ENSBTAG00000015377",4.75929924344464,-3.50420466856827,2.4712780334044,-1.41797265269296,0.156198749127531,0.54316731492972
"ENSBTAG00000007014",509.814638414578,-0.4678271605685,0.419241044697377,-1.11589064688596,0.264468945871737,0.663708349227776
"ENSBTAG00000014461",2364.97151883555,-0.418044404617828,0.469463580512107,-0.890472492374832,0.373212232370196,0.741692331910294
"ENSBTAG00000000742",86.9743626300577,3.35177269539176,0.636102954936511,5.26922987761674,1.36997310768039e-07,0.000332812133625822
"ENSBTAG00000016999",1865.59939645179,0.406436956298738,0.482883458701444,0.841687469253383,0.399962914097113,0.760931751337016
"ENSBTAG00000001324",2.45139199486713,3.44127284762397,2.68446488101376,1.28192135123944,0.199870237207411,NA
"ENSBTAG00000000905",633.560911048134,-0.270776871681783,0.46291044225108,-0.584944401696851,0.558585101597111,0.848088161905818
"ENSBTAG00000044075",778.689882929413,-0.21690107713821,0.367858140604735,-0.589632396830036,0.555437127098657,0.84630681477574
"ENSBTAG00000007273",32.3311568504379,-0.189193692432822,1.06011976001372,-0.178464452384487,0.858358235905001,0.963306577768201
"ENSBTAG00000023411",58.4394708053856,0.345332503471853,0.668503928386289,0.516575129641281,0.605452780655116,0.869441286110177
"ENSBTAG00000000526",732.039463531251,-0.308397920234604,0.485925335663928,-0.634661125074359,0.525649453037742,0.834676885350879
"ENSBTAG00000035556",1759.18601982768,-0.0213990451229458,0.422393653750514,-0.0506613793387747,0.959595351931115,0.991407699451057
"ENSBTAG00000018508",68.9984262103409,-0.516351901710099,0.708841460619012,-0.728444836253205,0.466341325353125,0.802084728386763
"ENSBTAG00000049758",1.34896286381043,-0.507772429496862,3.08617078746311,-0.164531539070869,0.869312720460576,NA
"ENSBTAG00000049044",25.2190936359702,-0.110946056547241,0.745160327886583,-0.148888839616443,0.881641347750634,0.97148505328192
"ENSBTAG00000005769",8.13274023489385,-0.437334046525493,1.04637418691888,-0.417951868454679,0.675982308370769,0.899745970853103
"ENSBTAG00000004495",378.337049493484,-0.146237873159035,0.44773489898174,-0.3266170975093,0.743957510245008,0.928179805643348
"ENSBTAG00000031010",307.744085462288,-0.192787309748076,0.406558503856914,-0.474193278259226,0.635362086225018,0.881545529731142
"ENSBTAG00000019577",1.17904251263209,-2.70256023174449,3.15957018526381,-0.855356923023642,0.39235358353149,NA
"ENSBTAG00000002966",604.713055770705,0.102480063439796,0.541534720955907,0.189240060653728,0.849904671013857,0.961495351874491
"ENSBTAG00000011634",4.1168961453712,5.25038866662782,2.65681592823996,1.97619587071131,0.0481325974033968,0.348179027172164
"ENSBTAG00000049430",2.22950660356096,2.22278802568278,3.24893506249432,0.684158957605103,0.493874795749965,NA
"ENSBTAG00000054913",4.3352998809032,0.714911546688597,1.41828299417518,0.50406833447535,0.614213357932129,0.872249990765657
"ENSBTAG00000054550",1.62781754120042,-0.82608873740185,2.17516228096504,-0.379782577433874,0.704106816275594,NA
"ENSBTAG00000010448",7.99148260895391,2.24165535631509,1.33126316151027,1.68385592054693,0.092209516896619,0.449806670398985
"ENSBTAG00000053358",24.2345589691093,1.91794647246618,0.729660413528743,2.62854670049965,0.00857505804432653,0.163599536720031
"ENSBTAG00000030942",263.941416072487,1.66200727592954,0.743095651127618,2.23659938449042,0.025312535192077,0.265818092910457
"ENSBTAG00000018749",159.101616054621,0.336576359045566,0.70896099120586,0.474745949665142,0.634968062330897,0.881470960176983
"ENSBTAG00000009258",21.5421956001565,-0.419448013940516,1.08934569404358,-0.385045827264944,0.700203462892883,0.911574329764564
"ENSBTAG00000007462",25.6447948187267,0.295803376645015,0.769523038003827,0.38439833771883,0.70068323237384,0.91176117174304
"ENSBTAG00000011626",1197.28836460607,-0.41529733220776,0.493202074237968,-0.842042955414216,0.399763909794095,0.760931751337016
"ENSBTAG00000013600",10640.3923403849,-0.789468744480596,0.416543370298544,-1.89528582321397,0.0580545453175142,0.378292765084481
"ENSBTAG00000013602",1234.10193618443,-0.281247033026277,0.491823492747047,-0.571845463207523,0.567426674017599,0.852329495874936
"ENSBTAG00000050138",1.68416962892899,0.587541879281683,2.13507302556299,0.275185847157034,0.783173459705994,NA
"ENSBTAG00000018768",3480.40512420276,0.450475908178259,0.404552355934656,1.113516956631,0.265486469881878,0.664010079404205
"ENSBTAG00000023106",374.065021141831,-0.183295500546963,0.348322771046276,-0.526223134928528,0.598733181631292,0.865859935240198
"ENSBTAG00000013629",6820.89524306431,-0.359490822198688,0.374768906587329,-0.95923331919992,0.337441218699984,0.719085263709205
"ENSBTAG00000030993",1.62529964805842,-3.74501766289418,3.22596766767755,-1.16089745734814,0.245683603005559,NA
"ENSBTAG00000007068",2.59282250078844,-1.0827451203796,3.02964809896536,-0.357383129991026,0.720805004312416,NA
"ENSBTAG00000051421",118.440652909654,-0.981820167132888,0.578607002648605,-1.69686879460247,0.0897214688620294,0.445580964270167
"ENSBTAG00000004754",6.73762122446263,-1.23301136353609,1.20655659589321,-1.0219258406385,0.306816001101864,0.695208963254248
"ENSBTAG00000000394",148.458413497959,0.045024834295956,0.440728226514761,0.102160087752964,0.918629607310611,0.980840797513818
"ENSBTAG00000030921",2.48722101874676,5.18618497885268,3.17590774654164,1.63297721242064,NA,NA
"ENSBTAG00000008471",223.771782495251,6.57547736187094,2.06706435344312,3.18107046397376,0.00146731935432934,0.0694404120412484
"ENSBTAG00000030913",801.490472866595,3.58923937588029,1.23856351386845,2.89790498080303,0.00375664384174176,0.110396856123443
"ENSBTAG00000009132",1.24920623268888,-4.20401589576852,3.69770353728166,-1.13692616332868,0.255569153711648,NA
"ENSBTAG00000050235",1.48077648585212,-2.64613667000867,3.31080880422681,-0.799241764317659,0.424150239335864,NA
"ENSBTAG00000021251",113.693128437574,1.35185612479095,0.646299480016532,2.09168685197823,0.0364665374258143,0.30760199624923
"ENSBTAG00000021253",22.6026004365013,0.246429659887385,1.00265034817214,0.245778261920153,0.805853885464,0.94820572553162
"ENSBTAG00000021259",15.5595672036395,1.66713775663213,1.05008662716671,1.58761926254628,0.112372459752787,0.484025110329972
"ENSBTAG00000030836",333.96631606908,0.1179652911795,0.522480920319615,0.225779136790943,0.821373204546054,0.952989228356127
"ENSBTAG00000021270",0.805041771514264,0,3.81692887974427,0,1,NA
"ENSBTAG00000021272",11.5247036432258,0.553476703601921,1.29085746558347,0.428766706130292,0.668093010394557,0.896704571770487
"ENSBTAG00000023398",155.038150635793,-0.497931275183758,0.495020167789013,-1.005880785439,0.314472920215697,0.701183643976511
"ENSBTAG00000021286",3.33643132005017,2.18846155777601,1.7977938174838,1.21730397362195,0.223488583007496,0.624893455959574
"ENSBTAG00000021899",59.5950753899524,0.328747507583911,0.721894434871514,0.455395542206144,0.648824701740179,0.887553960323091
"ENSBTAG00000021490",8.47294731421083,0.761847646659448,1.3658229718347,0.557793844714784,0.5769851663476,0.855889138293979
"ENSBTAG00000021491",2346.90526920805,-0.491718600747463,0.367595660490557,-1.33766160376122,0.181006772820462,0.573287823935345
"ENSBTAG00000014153",390.325741341251,-0.724466053697601,0.55330977713057,-1.30933174081007,0.190422002309426,0.58506814765799
"ENSBTAG00000000160",31.9966007979772,-0.326039672576441,1.11727056129378,-0.291818010669585,0.770425773801346,0.936981733744549
"ENSBTAG00000011645",2404.04082963291,-0.434109735933517,0.4754417755992,-0.913066032925711,0.361207813498155,0.734919750076649
"ENSBTAG00000011437",31.5672926796065,2.86996321768926,0.795019903003052,3.60992625071204,0.000306284075669354,0.0328264462276213
"ENSBTAG00000017407",1299.79610091127,0.17285784896328,0.531815177071949,0.325033689175618,0.74515557452867,0.928664957873602
"ENSBTAG00000017418",1670.12510368242,-0.709709242391503,0.678493659690958,-1.04600718408299,0.295557715542659,0.68718183981917
"ENSBTAG00000018186",43.248692060818,2.93358437416854,0.726692266379896,4.03690050092668,5.41620259858261e-05,0.0125312014407841
"ENSBTAG00000018189",173.436151409713,0.985756991439632,0.769421719574911,1.28116605804193,0.200135345274741,0.597658838911007
"ENSBTAG00000000524",4470.3980921369,0.336366082502785,0.522242577349752,0.644080159472553,0.519523455351931,0.831436781321388
"ENSBTAG00000003981",48.948298351661,-0.591004654757529,0.702615015285141,-0.841150049316385,0.4002638796073,0.760931751337016
"ENSBTAG00000020456",42.9560298260833,0.158954390568487,0.716574139007907,0.221825463571094,0.824449756178018,0.952989228356127
"ENSBTAG00000007100",105.098433912059,2.3341570888791,0.778280229049848,2.99912165535635,0.00270759170927185,0.0930798508357228
"ENSBTAG00000007105",135.994341913704,0.702514432861728,0.499187761623859,1.40731501625049,0.159333998543836,0.546400079182627
"ENSBTAG00000007106",25.8555782473386,0.865119132234744,1.03293292192824,0.837536604622664,0.402291010424006,0.76196256236855
"ENSBTAG00000014880",4.63924200429425,2.51003541834063,2.32893650265181,1.07776034919055,0.281140718677709,0.676993373924125
"ENSBTAG00000010658",23.5898559925258,3.0547607401368,1.2639904340605,2.41675938189147,0.0156593648429339,0.218213099379163
"ENSBTAG00000019589",14.7856464638762,0.939140996601087,1.64157507923439,0.572097498604263,0.567255923676007,0.852329495874936
"ENSBTAG00000018607",0.447315951532671,0.810079261516855,3.81692887974972,0.212233260570989,0.831925059548656,NA
"ENSBTAG00000030862",7.76825533778993,-0.747683086791158,1.98083111391692,-0.377459280368774,NA,NA
"ENSBTAG00000050038",1.81986751100112,-0.363534500584166,2.877703730399,-0.126327980446327,0.89947230848661,NA
"ENSBTAG00000048090",287.581716419392,-0.0381774413022925,0.551459679930155,-0.0692297962874237,0.944806705990526,0.988446972270854
"ENSBTAG00000017321",293.394625860932,0.453100652043512,0.61472621686512,0.737077156647329,0.46107542986185,0.800592181557005
"ENSBTAG00000021771",297.651357864433,1.47601019732044,0.629182101288607,2.34591892283247,0.018980235693682,0.233622780185363
"ENSBTAG00000017010",28.3261381949437,1.59861038337574,1.09644122700997,1.45799915580993,0.144840775705438,0.530846399785338
"ENSBTAG00000017486",12.5168643345815,-0.905876212421217,0.867259255126327,-1.04452758165062,0.296241365076479,0.687570013979984
"ENSBTAG00000007818",46.9343854606851,2.35144316141348,0.902745640827951,2.6047682260275,0.0091936428285111,0.170199512878091
"ENSBTAG00000023907",8.44280660066723,2.312089413764,1.58998733717754,1.45415586634061,0.145903097739216,0.532336308547386
"ENSBTAG00000024162",7.94088280183555,2.00082267393209,1.51159592484216,1.32364915851504,0.185619590871973,0.579728124394659
