"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSBTAG00000000310",56.2541201444316,-2.55949896781803,2.24491033881844,-1.1401341619573,0.254230411438222,0.608388529691536
"ENSBTAG00000018849",2.40189128715541,5.26125056704039,2.9729132781669,1.76972890722345,0.076772311923817,NA
"ENSBTAG00000023192",318.706281229045,0.514294765142726,0.572110085394421,0.898943714282127,0.368682641965659,0.70103046718286
"ENSBTAG00000046609",74299.0255473714,0.139911077451472,0.370950725944459,0.377168900519742,0.706048090298341,0.898533237785463
"ENSBTAG00000004556",292.765867453956,-1.85403935506031,0.719837918353795,-2.57563446963218,0.0100056359107996,0.138272329600633
"ENSBTAG00000019742",1.50269221135141,-1.58813636843209,2.57959862758305,-0.615652509444886,0.538123887207513,NA
"ENSBTAG00000020237",145.387022238854,-1.53720924563438,0.568875992191411,-2.70218688560363,0.0068885031551963,0.117816377755025
"ENSBTAG00000038490",1.98121065089472,1.32448050642788,3.38900192228104,0.390817278007447,0.695932302688414,NA
"ENSBTAG00000050124",0.845430919790102,-1.87623332903676,3.7087958918375,-0.505887458828906,0.61293565680666,NA
"ENSBTAG00000019669",1.97202913426756,2.55711949839217,3.30583931654666,0.773515967818842,0.439217082415204,NA
"ENSBTAG00000054128",0.679617252266099,-2.43647781043088,3.72508146387127,-0.654073698538336,0.513064325569589,NA
"ENSBTAG00000048875",4.48180663206407,5.3272920599951,2.47010117459504,2.15671006304771,0.0310282624198079,NA
"ENSBTAG00000050301",4.55644367135363,-0.254009393517746,1.23771850904821,-0.205223878984468,0.837397213749387,NA
"ENSBTAG00000051940",43.5512619807937,0.979036582268417,0.736968094357519,1.32846535659313,0.184024420907205,0.532611714780255
"ENSBTAG00000010490",60.2576649757878,-0.83392651847614,0.543127154315447,-1.53541672856923,0.124681497167625,0.449369535716693
"ENSBTAG00000008129",12.4568316370497,-1.32818034670276,0.981864835066568,-1.35271200196585,0.176147654674823,0.522043042203039
"ENSBTAG00000016204",2.02260631580253,-5.0133201163983,3.19354085036204,-1.5698312159777,0.116454383248331,NA
"ENSBTAG00000008612",1.01687474928135,-4.1303451535632,3.70213018342131,-1.11566718319618,0.264564622714641,NA
"ENSBTAG00000013127",21.7658828855674,0.398819891105699,0.882741402799527,0.451796970030953,0.651415252717915,0.874033372217353
"ENSBTAG00000013126",181.472697381779,0.390214336450773,0.848656751930145,0.459802311786583,0.645658123712664,0.872323592526541
"ENSBTAG00000013123",619.277238877283,0.61145773837967,0.535543677717782,1.14175138988737,0.253557373109859,0.608136054996614
"ENSBTAG00000045102",14.9684700346623,1.02291297494173,0.931514375385713,1.09811829207485,0.272152838843999,0.625951497008239
"ENSBTAG00000020294",269.678202887648,0.0729334644380675,0.479269313372674,0.152176370159872,0.879047830768098,0.959437720840424
"ENSBTAG00000044624",125.023102118932,-0.201564953533486,0.710936345130359,-0.283520395200116,0.776777949675281,0.928535840271899
"ENSBTAG00000018828",15.2923533179484,0.426639974378287,1.1594767744847,0.36795905167475,0.712903767404405,0.901156940103753
"ENSBTAG00000011274",6.99293146442234,-1.87559254787279,1.90955413079835,-0.982214914791991,0.325993981300411,0.668030921124383
"ENSBTAG00000053346",31.72483294224,-3.94826844160062,1.11747504833575,-3.53320501203203,0.000410553970527199,0.028452819947482
"ENSBTAG00000019782",129.05921036245,-2.06562326023288,1.02766018008699,-2.01002559042234,0.0444284804777443,0.27871726387812
"ENSBTAG00000019780",47.4840300927407,-0.618125687083215,0.611798958355149,-1.01034118911395,0.312331853753895,0.657019438657771
